Data Medicao,TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%),VENTO; VELOCIDADE MEDIA DIARIA (AUT)(m/s),has_Foco
25/02,27.204167,60.541667,0.708333,0
26/02,26.816667,63.541667,0.666667,0
27/02,28.0125,52.958333,0.8125,0
28/02,28.65,59.166667,0.954167,0
01/03,26.8125,69.875,0.704167,0
02/03,27.770833000000003,61.916667,1.5125,0
03/03,27.9625,51.333333,1.570833,0
04/03,27.875,51.5,1.0375,0
05/03,27.675,53.0,0.929167,0
06/03,27.904167,53.25,0.8,0
07/03,27.85,53.916667,0.6375,0
08/03,27.591667,54.166667,0.841667,0
09/03,25.879167,54.583333,1.1,0
10/03,27.495833,52.5,1.395833,0
11/03,26.483333,61.791667,0.954167,0
12/03,26.879167,60.416667,1.291667,0
13/03,27.783333,54.833333,0.729167,0
14/03,27.808333,54.083333,0.995833,0
15/03,26.9625,58.208333,1.3,0
16/03,24.966667,71.875,1.070833,0
17/03,26.520833000000003,70.583333,1.066667,0
18/03,26.179167,71.916667,1.1625,0
19/03,26.225,77.916667,0.491667,0
20/03,27.083333000000003,63.166667,0.716667,0
21/03,27.266667,59.458333,0.8375,0
22/03,27.4125,60.666667,1.1,0
23/03,28.0,57.375,1.508333,0
24/03,26.804167,58.291667,0.983333,0
25/03,27.054167,59.041667,0.791667,0
26/03,28.095833,57.833333,0.779167,0
27/03,28.783333,53.916667,0.8,0
28/03,29.504167,52.0,0.958333,0
29/03,24.695833,82.875,0.604167,0
30/03,23.8,90.458333,0.3875,0
31/03,24.25,88.208333,0.225,0
01/04,22.504167,92.833333,0.425,0
02/04,22.316667,92.541667,0.208333,0
03/04,24.2375,84.583333,0.625,0
04/04,24.0875,83.416667,0.658333,0
05/04,25.383333,75.25,0.854167,0
06/04,25.058333,75.5,0.745833,0
07/04,25.7125,64.625,1.070833,0
08/04,25.05,70.166667,0.883333,0
09/04,25.620833,70.083333,1.070833,0
10/04,25.679167,65.541667,0.979167,0
11/04,26.225,64.541667,0.808333,0
12/04,27.170833,63.458333,0.879167,1
13/04,26.308333,68.291667,1.025,1
14/04,25.9625,69.291667,1.25,0
15/04,26.2875,64.666667,1.325,0
16/04,26.258333,63.083333,1.295833,0
17/04,26.395833000000003,67.916667,0.804167,0
18/04,26.920833,65.916667,0.816667,0
19/04,26.170833,63.791667,1.383333,0
20/04,23.733333,77.208333,1.141667,0
21/04,24.120833,77.333333,0.629167,0
22/04,25.466667,74.041667,0.3375,0
23/04,25.920833,72.166667,0.395833,0
24/04,26.175,71.708333,0.9625,0
25/04,25.904167,69.708333,0.695833,0
26/04,26.1125,68.666667,0.45,0
27/04,26.445833,68.75,0.6625,0
28/04,26.525,69.541667,0.858333,0
29/04,25.929167,67.208333,1.416667,0
30/04,25.308333,67.333333,1.2,0
01/05,23.9875,66.916667,1.075,0
02/05,23.333333,76.958333,0.933333,0
03/05,21.55,92.375,1.408333,0
04/05,23.658333,75.708333,1.104167,0
05/05,23.154167,82.916667,0.683333,0
06/05,23.545833,85.083333,0.595833,0
07/05,24.504167,75.166667,0.479167,0
08/05,24.1,73.041667,0.475,0
09/05,25.25,70.083333,0.404167,0
10/05,25.304167,68.125,0.741667,0
11/05,25.166667,66.708333,0.816667,0
12/05,25.195833,59.375,1.1125,0
13/05,23.8875,66.25,0.683333,0
14/05,24.925,69.791667,0.4875,0
15/05,25.920833,59.291667,0.8625,0
16/05,27.329167,47.041667,0.8875,0
17/05,25.9625,69.125,0.870833,0
18/05,22.404167,93.458333,0.920833,0
19/05,23.170833,87.083333,0.279167,0
20/05,23.4625,84.0,0.354167,0
21/05,22.891667,91.583333,0.75,0
22/05,23.275,86.833333,0.941667,0
23/05,23.354167,83.833333,0.666667,0
24/05,24.0125,76.875,0.9,0
25/05,23.358333,82.208333,1.470833,0
26/05,22.525,80.958333,1.195833,0
27/05,23.566667,74.416667,0.65,0
28/05,22.3875,87.083333,1.208333,0
29/05,21.7125,82.416667,0.708333,0
30/05,22.783333,74.041667,0.529167,0
31/05,22.229167,79.0,0.291667,0
01/06,22.966667,79.333333,0.266667,0
02/06,23.341667,80.666667,0.3125,0
03/06,24.85,75.0,0.941667,0
04/06,22.283333,89.291667,1.429167,0
05/06,21.754167,91.0,0.654167,0
06/06,22.525,87.708333,0.883333,0
07/06,21.704167,92.208333,0.745833,0
08/06,22.654167,84.666667,0.570833,0
09/06,22.8375,77.291667,0.525,0
10/06,22.995833,75.666667,0.55,0
11/06,22.458333,72.583333,0.633333,0
12/06,23.304167,70.5,0.604167,0
13/06,23.295833,70.25,0.770833,0
14/06,23.270833,67.875,0.845833,0
15/06,22.925,72.541667,1.058333,0
16/06,22.058333,82.25,1.179167,0
17/06,23.054167,70.291667,1.6625,0
18/06,22.75,66.333333,1.4,0
19/06,23.266667,62.541667,1.2,0
20/06,23.204167,69.208333,1.2375,0
21/06,23.925,66.041667,1.208333,0
22/06,21.979167,72.416667,1.325,0
23/06,21.829167,76.416667,1.458333,0
24/06,22.158333,70.0,1.5375,0
25/06,21.829167,71.833333,1.383333,0
